2021-07-22 14:22:07 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2021-07-22 14:22:07 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer using Java 11.0.11 on onceuponatime-LeLong-S15-X510UF with PID 41174 (/home/onceuponatime/Documents/Java/Microservices/microservices-demo/config-server/target/classes started by onceuponatime in /home/onceuponatime/Documents/Java/Microservices/microservices-demo)
2021-07-22 14:22:07 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2021-07-22 14:22:09 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=8dbd9f49-dd61-3375-9383-8c4959f79b95
2021-07-22 14:22:09 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-07-22 14:22:09 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-07-22 14:22:09 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-07-22 14:22:09 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
2021-07-22 14:22:09 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-22 14:22:09 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1833 ms
2021-07-22 14:22:10 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/actuator/**'] with []
2021-07-22 14:22:10 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/encrypt/**'] with []
2021-07-22 14:22:10 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/decrypt/**'] with []
2021-07-22 14:22:10 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4b7ed03e, org.springframework.security.web.context.SecurityContextPersistenceFilter@65da01f4, org.springframework.security.web.header.HeaderWriterFilter@6544899b, org.springframework.security.web.csrf.CsrfFilter@372f0a99, org.springframework.security.web.authentication.logout.LogoutFilter@5fef0c19, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@afde064, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@51ac12ac, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@636985df, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@3fb450d7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7c8874ef, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@637c840d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6f91fbda, org.springframework.security.web.session.SessionManagementFilter@1bd8afc8, org.springframework.security.web.access.ExceptionTranslationFilter@2a0b901c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@65cc5252]
2021-07-22 14:22:11 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2021-07-22 14:22:15 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-07-22 14:22:15 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-07-22 14:22:16 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2021-07-22 14:22:16 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 10.566 seconds (JVM running for 11.429)
2021-07-22 14:22:39 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-07-22 14:22:39 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-07-22 14:22:39 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2021-07-22 14:22:41 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-17712529461498713834/config-client-twitter_to_kafka.yml]' via location 'file:/tmp/config-repo-17712529461498713834/'
2021-07-22 14:22:41 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-17712529461498713834/config-client.yml]' via location 'file:/tmp/config-repo-17712529461498713834/'
2021-07-22 14:23:57 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-17712529461498713834/config-client-twitter_to_kafka.yml]' via location 'file:/tmp/config-repo-17712529461498713834/'
2021-07-22 14:23:57 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-17712529461498713834/config-client.yml]' via location 'file:/tmp/config-repo-17712529461498713834/'
2021-07-22 14:24:59 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-17712529461498713834/config-client-kafka_to_elastic.yml]' via location 'file:/tmp/config-repo-17712529461498713834/'
2021-07-22 14:24:59 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-17712529461498713834/config-client.yml]' via location 'file:/tmp/config-repo-17712529461498713834/'
