2021-07-28 13:37:28 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2021-07-28 13:37:28 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer using Java 11.0.11 on onceuponatime-LeLong-S15-X510UF with PID 15811 (/home/onceuponatime/Documents/Java/Microservices/microservices-demo/config-server/target/classes started by onceuponatime in /home/onceuponatime/Documents/Java/Microservices/microservices-demo)
2021-07-28 13:37:28 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2021-07-28 13:37:30 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=8dbd9f49-dd61-3375-9383-8c4959f79b95
2021-07-28 13:37:30 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-07-28 13:37:31 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-07-28 13:37:31 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-07-28 13:37:31 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
2021-07-28 13:37:31 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-28 13:37:31 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2903 ms
2021-07-28 13:37:31 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/actuator/**'] with []
2021-07-28 13:37:31 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/encrypt/**'] with []
2021-07-28 13:37:31 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/decrypt/**'] with []
2021-07-28 13:37:31 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@53d6e959, org.springframework.security.web.context.SecurityContextPersistenceFilter@7b96de8d, org.springframework.security.web.header.HeaderWriterFilter@76396509, org.springframework.security.web.csrf.CsrfFilter@752b69e3, org.springframework.security.web.authentication.logout.LogoutFilter@6c951ada, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6f91fbda, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@7e7740a5, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@3caee3a8, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@681061d6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4dc52559, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6d0e45a5, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@69a40b3c, org.springframework.security.web.session.SessionManagementFilter@51ac12ac, org.springframework.security.web.access.ExceptionTranslationFilter@2ca3d826, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@8641b7d]
2021-07-28 13:37:32 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2021-07-28 13:37:41 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-07-28 13:37:41 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-07-28 13:37:42 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2021-07-28 13:37:43 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 19.16 seconds (JVM running for 21.776)
2021-07-28 13:39:02 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-07-28 13:39:02 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-07-28 13:39:02 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2021-07-28 13:39:02 [http-nio-8888-exec-1] WARN  o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [118] milliseconds.
2021-07-28 13:39:16 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-4331837582705773965/config-client-elastic_query.yml]' via location 'file:/tmp/config-repo-4331837582705773965/'
2021-07-28 13:39:16 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-4331837582705773965/config-client.yml]' via location 'file:/tmp/config-repo-4331837582705773965/'
2021-07-28 13:41:44 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-4331837582705773965/config-client-elastic_query.yml]' via location 'file:/tmp/config-repo-4331837582705773965/'
2021-07-28 13:41:44 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-4331837582705773965/config-client.yml]' via location 'file:/tmp/config-repo-4331837582705773965/'
