2021-08-24 00:02:14 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2021-08-24 00:02:14 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 11.0.12 on d38c37512025 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2021-08-24 00:02:14 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2021-08-24 00:02:23 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=8dbd9f49-dd61-3375-9383-8c4959f79b95
2021-08-24 00:02:25 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-08-24 00:02:25 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-08-24 00:02:25 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-08-24 00:02:26 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
2021-08-24 00:02:26 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-08-24 00:02:26 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 11132 ms
2021-08-24 00:02:32 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/actuator/**'] with []
2021-08-24 00:02:32 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/encrypt/**'] with []
2021-08-24 00:02:32 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/decrypt/**'] with []
2021-08-24 00:02:32 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@38159384, org.springframework.security.web.context.SecurityContextPersistenceFilter@7558633, org.springframework.security.web.header.HeaderWriterFilter@2589d787, org.springframework.security.web.csrf.CsrfFilter@11f23038, org.springframework.security.web.authentication.logout.LogoutFilter@33d28f0a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7ac48e10, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@61359e87, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@55877274, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7da1e005, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@61394494, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@71936a92, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@723e2d08, org.springframework.security.web.session.SessionManagementFilter@16d431b4, org.springframework.security.web.access.ExceptionTranslationFilter@8b13d91, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@486bd064]
2021-08-24 00:02:41 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-08-24 00:02:41 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-08-24 00:02:41 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 32.595 seconds (JVM running for 36.238)
2021-08-24 00:02:50 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-08-24 00:02:50 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-08-24 00:02:50 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2021-08-24 00:03:21 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-16058656604439421200/config-client-elastic_query_web.yml]' via location 'file:/tmp/config-repo-16058656604439421200/'
2021-08-24 00:03:21 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-16058656604439421200/config-client.yml]' via location 'file:/tmp/config-repo-16058656604439421200/'
2021-08-24 00:03:23 [http-nio-8888-exec-4] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-16058656604439421200/config-client-elastic_query.yml]' via location 'file:/tmp/config-repo-16058656604439421200/'
2021-08-24 00:03:23 [http-nio-8888-exec-4] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-16058656604439421200/config-client.yml]' via location 'file:/tmp/config-repo-16058656604439421200/'
2021-08-24 00:04:26 [http-nio-8888-exec-8] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-16058656604439421200/config-client-elastic_query_web_2.yml]' via location 'file:/tmp/config-repo-16058656604439421200/'
2021-08-24 00:04:26 [http-nio-8888-exec-8] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-16058656604439421200/config-client.yml]' via location 'file:/tmp/config-repo-16058656604439421200/'
2021-08-24 00:04:30 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-16058656604439421200/config-client-elastic_query.yml]' via location 'file:/tmp/config-repo-16058656604439421200/'
2021-08-24 00:04:30 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-16058656604439421200/config-client.yml]' via location 'file:/tmp/config-repo-16058656604439421200/'
